epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
70,1923.43,0.46431,0.32494,0.96255,0.00609,0.99828,1,0.995,0.94485,0.3637,0.24881,0.96146,0.00082,0.0006338,0.0006338,0.0006338
71,1950.71,0.45266,0.32113,0.95625,0.00677,0.99915,1,0.995,0.94722,0.35473,0.2447,0.95033,0.00084,0.000614,0.000614,0.000614
72,1975.38,0.46274,0.32193,0.96635,0.0079,0.9953,1,0.995,0.94679,0.36751,0.24745,0.95468,0.00078,0.0005942,0.0005942,0.0005942
73,2002.64,0.46003,0.31542,0.96283,0.00778,0.9913,1,0.995,0.94887,0.3676,0.24404,0.9266,0.00087,0.0005744,0.0005744,0.0005744
74,2029.82,0.44009,0.31362,0.94159,0.00589,0.99117,1,0.995,0.95173,0.35796,0.24803,0.93598,0.0007,0.0005546,0.0005546,0.0005546
75,2057.73,0.4403,0.31564,0.94468,0.00849,0.99916,1,0.995,0.95048,0.34916,0.23572,0.95124,0.00067,0.0005348,0.0005348,0.0005348
76,2085.08,0.43523,0.31017,0.94544,0.0061,1,0.99946,0.995,0.93509,0.37551,0.24339,0.92665,0.00069,0.000515,0.000515,0.000515
77,2112.48,0.44483,0.31668,0.94966,0.00716,0.99931,1,0.995,0.93669,0.37298,0.24192,0.94901,0.00083,0.0004952,0.0004952,0.0004952
78,2138.51,0.45133,0.31536,0.95618,0.008,0.99916,1,0.995,0.93537,0.37445,0.23766,0.96784,0.00075,0.0004754,0.0004754,0.0004754
79,2165.46,0.43373,0.30355,0.94107,0.00776,0.99849,1,0.995,0.94378,0.35509,0.23546,0.94308,0.00065,0.0004556,0.0004556,0.0004556
80,2192.69,0.43273,0.30876,0.93727,0.00587,0.99979,1,0.995,0.94041,0.36717,0.23657,0.93366,0.00073,0.0004358,0.0004358,0.0004358
81,2220.24,0.44234,0.30453,0.94295,0.00585,0.9984,1,0.995,0.94379,0.35691,0.23635,0.94503,0.00071,0.000416,0.000416,0.000416
82,2247.11,0.42946,0.30011,0.95108,0.00669,0.99849,1,0.995,0.9399,0.36299,0.24208,0.91466,0.00078,0.0003962,0.0003962,0.0003962
83,2274.09,0.43376,0.30362,0.93812,0.00604,0.99943,1,0.995,0.94266,0.36728,0.23597,0.97203,0.00071,0.0003764,0.0003764,0.0003764
84,2299.59,0.42224,0.29938,0.94157,0.00738,0.99577,1,0.995,0.93959,0.37435,0.23705,0.94402,0.00082,0.0003566,0.0003566,0.0003566
85,2327.61,0.41883,0.29661,0.92816,0.00485,1,0.99917,0.995,0.93629,0.36317,0.23237,0.90506,0.00081,0.0003368,0.0003368,0.0003368
86,2354.98,0.41638,0.29366,0.9331,0.00559,0.99944,1,0.995,0.95227,0.35402,0.22992,0.93541,0.00069,0.000317,0.000317,0.000317
87,2383.37,0.41526,0.28899,0.92968,0.00506,0.99947,1,0.995,0.94846,0.35548,0.23126,0.9128,0.00064,0.0002972,0.0002972,0.0002972
88,2410.73,0.41621,0.29824,0.92469,0.00558,0.99936,1,0.995,0.95057,0.34921,0.2312,0.90193,0.0008,0.0002774,0.0002774,0.0002774
89,2438.4,0.40824,0.28426,0.92822,0.00687,0.99929,1,0.995,0.95391,0.35217,0.22657,0.92385,0.00071,0.0002576,0.0002576,0.0002576
90,2464.9,0.41348,0.29591,0.91969,0.00501,0.99946,1,0.995,0.94841,0.34487,0.22105,0.94572,0.00065,0.0002378,0.0002378,0.0002378
91,2493.57,0.33908,0.24403,0.89878,0.00095,0.99937,1,0.995,0.9505,0.35258,0.22561,0.95716,0.0007,0.000218,0.000218,0.000218
92,2519.57,0.33281,0.23947,0.89609,0.00076,0.99033,0.99167,0.995,0.95654,0.34282,0.23322,0.91417,0.00071,0.0001982,0.0001982,0.0001982
93,2545.72,0.32705,0.2366,0.87986,0.00077,0.99947,1,0.995,0.95058,0.34839,0.22778,0.94718,0.00079,0.0001784,0.0001784,0.0001784
94,2571.91,0.32804,0.23066,0.88584,0.00073,0.99949,1,0.995,0.9531,0.34805,0.22315,0.94121,0.00071,0.0001586,0.0001586,0.0001586
95,2596.45,0.31571,0.22768,0.88777,0.00073,0.99948,1,0.995,0.95299,0.3518,0.22351,0.94372,0.00065,0.0001388,0.0001388,0.0001388
96,2622.6,0.31619,0.22957,0.88466,0.00065,0.99949,1,0.995,0.95014,0.34496,0.22009,0.93773,0.00066,0.000119,0.000119,0.000119
97,2649.93,0.31218,0.22575,0.87571,0.00068,0.99583,1,0.995,0.94809,0.35023,0.226,0.91418,0.00076,9.92e-05,9.92e-05,9.92e-05
98,2674.98,0.3073,0.22266,0.87387,0.00071,0.99949,1,0.995,0.95987,0.33707,0.21702,0.93998,0.00064,7.94e-05,7.94e-05,7.94e-05
99,2700.54,0.30571,0.22384,0.8819,0.00065,0.99949,1,0.995,0.95376,0.34176,0.21923,0.9462,0.00065,5.96e-05,5.96e-05,5.96e-05
100,2726.46,0.30151,0.22038,0.87383,0.00066,0.99947,1,0.995,0.95794,0.33718,0.21683,0.94262,0.00061,3.98e-05,3.98e-05,3.98e-05
