epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
69,536.158,0.50538,0.38995,1.05778,0.00756,0.99836,1,0.995,0.9215,0.41259,0.28703,0.98976,0.00103,0.0006536,0.0006536,0.0006536
70,541.882,0.50665,0.38543,1.05093,0.00982,0.99859,1,0.995,0.93566,0.39493,0.27954,0.98676,0.00076,0.0006338,0.0006338,0.0006338
71,550.25,0.49571,0.38036,1.03039,0.01236,0.99892,1,0.995,0.93579,0.38916,0.27751,0.96561,0.00073,0.000614,0.000614,0.000614
72,558.409,0.48747,0.37409,0.99756,0.00913,0.99899,1,0.995,0.93401,0.4145,0.28519,0.97582,0.00078,0.0005942,0.0005942,0.0005942
73,567.212,0.46832,0.35506,0.99314,0.00856,0.99903,1,0.995,0.90832,0.47059,0.30367,1.01396,0.00138,0.0005744,0.0005744,0.0005744
74,573.021,0.46725,0.36098,1.00839,0.01239,0.99896,1,0.995,0.93056,0.41117,0.28373,1.00001,0.00086,0.0005546,0.0005546,0.0005546
75,582.247,0.46674,0.35603,1.01824,0.01415,0.99894,1,0.995,0.9235,0.43095,0.30097,0.98642,0.00092,0.0005348,0.0005348,0.0005348
76,588.297,0.45042,0.34503,1.01849,0.01005,0.99887,1,0.995,0.94075,0.40457,0.27919,0.98112,0.00082,0.000515,0.000515,0.000515
77,597.102,0.45538,0.3593,1.02038,0.00966,0.99892,1,0.995,0.93453,0.41886,0.28478,0.97312,0.00073,0.0004952,0.0004952,0.0004952
78,604.112,0.45463,0.36125,1.02037,0.01261,0.99863,1,0.995,0.93753,0.38997,0.26871,0.97188,0.00063,0.0004754,0.0004754,0.0004754
79,612.798,0.44203,0.33964,0.9995,0.00909,0.99786,1,0.995,0.93376,0.38958,0.27611,0.95799,0.00061,0.0004556,0.0004556,0.0004556
80,618.992,0.47115,0.36535,1.0033,0.01205,0.99812,1,0.995,0.93759,0.39173,0.27884,0.95675,0.00058,0.0004358,0.0004358,0.0004358
81,628.137,0.45171,0.34871,0.98464,0.00772,0.99699,1,0.995,0.9245,0.41649,0.28465,0.9642,0.00083,0.000416,0.000416,0.000416
82,634.314,0.47163,0.36578,1.01949,0.01177,0.99753,1,0.995,0.92911,0.3963,0.27208,0.96664,0.00066,0.0003962,0.0003962,0.0003962
83,642.289,0.44208,0.34533,0.98921,0.00711,0.9988,1,0.995,0.9248,0.41901,0.26702,0.95583,0.00084,0.0003764,0.0003764,0.0003764
84,648.481,0.46878,0.35916,0.9995,0.00952,0.99896,1,0.995,0.93169,0.3994,0.26343,0.95425,0.00064,0.0003566,0.0003566,0.0003566
85,656.851,0.43083,0.33662,0.9906,0.00881,0.99895,1,0.995,0.9376,0.38536,0.25768,0.95928,0.00053,0.0003368,0.0003368,0.0003368
86,662.93,0.41597,0.32675,0.97654,0.00811,0.9989,1,0.995,0.93463,0.39059,0.26776,0.96185,0.00073,0.000317,0.000317,0.000317
87,671.763,0.40921,0.33209,0.96896,0.00901,0.999,1,0.995,0.93531,0.38137,0.25645,0.96132,0.00069,0.0002972,0.0002972,0.0002972
88,678.032,0.42825,0.33584,0.98498,0.00506,0.99905,1,0.995,0.95037,0.38729,0.26069,0.96414,0.00062,0.0002774,0.0002774,0.0002774
89,685.879,0.4194,0.33779,0.98427,0.01087,0.99905,1,0.995,0.95005,0.38776,0.25439,0.9586,0.00058,0.0002576,0.0002576,0.0002576
90,692.914,0.42343,0.33751,0.9785,0.00924,0.99906,1,0.995,0.94103,0.38806,0.25357,0.95144,0.00069,0.0002378,0.0002378,0.0002378
91,704.123,0.30468,0.26064,0.89527,0.00089,0.99906,1,0.995,0.93815,0.39653,0.25746,0.95383,0.00075,0.000218,0.000218,0.000218
92,710.466,0.2824,0.25419,0.91703,0.00073,0.99906,1,0.995,0.94192,0.37985,0.25069,0.95287,0.00061,0.0001982,0.0001982,0.0001982
93,718.291,0.28739,0.25375,0.90004,0.0008,0.99906,1,0.995,0.94006,0.37814,0.25325,0.95855,0.00059,0.0001784,0.0001784,0.0001784
94,723.768,0.27936,0.25457,0.90722,0.00078,1,1,0.995,0.93918,0.38325,0.25117,0.95604,0.00077,0.0001586,0.0001586,0.0001586
95,731.866,0.27603,0.24687,0.88703,0.00069,1,1,0.995,0.95226,0.37997,0.24619,0.95127,0.00053,0.0001388,0.0001388,0.0001388
96,738.271,0.26939,0.24059,0.89021,0.00072,1,1,0.995,0.94801,0.37881,0.24801,0.9529,0.00055,0.000119,0.000119,0.000119
97,744.349,0.27277,0.24356,0.90482,0.00064,1,1,0.995,0.94784,0.37115,0.24566,0.95022,0.00053,9.92e-05,9.92e-05,9.92e-05
98,751.467,0.2621,0.2343,0.90744,0.00059,1,1,0.995,0.94696,0.37383,0.2443,0.94699,0.00057,7.94e-05,7.94e-05,7.94e-05
99,758.206,0.27291,0.24655,0.90938,0.0006,1,1,0.995,0.94779,0.37144,0.24408,0.94563,0.00057,5.96e-05,5.96e-05,5.96e-05
100,765.509,0.25178,0.22521,0.90957,0.00051,1,1,0.995,0.95151,0.364,0.24385,0.94612,0.00054,3.98e-05,3.98e-05,3.98e-05
